"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","482","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","5761","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2026-06-10","passed","2026-06-10","TestOrderFeed","Лента заказов","",""
"","331","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","375","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","3095","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","362","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","3056","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","1224","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1062","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","351","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1212","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","372","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","5710","При создании нового заказа счётчик 'Выполнено за всё время' увеличивается","tests","2026-06-10","passed","2026-06-10","TestOrderFeed","Лента заказов","",""
"","2244","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","638","Закрытие всплывающего окна кликом по крестику","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","127","Переход по клику на кнопку 'Конструктор'","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1108","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","134","Переход по клику на кнопку 'Конструктор'","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","5411","После оформления заказа его номер появляется на странице Ленты","tests","2026-06-10","passed","2026-06-10","TestOrderFeed","Лента заказов","",""
"","1335","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1207","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2242","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2244","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2428","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2259","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","448","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","3133","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","3449","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","3051","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2916","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","1410","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","352","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1111","Переход по клику на раздел 'Лента заказов'","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1075","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","3130","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","529","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","377","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2267","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","1356","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","550","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","3158","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
